# Clip ID (Unique, used only internally); Clip Prefix (Unique); Video Session; Starting Time (ms);  Ending Time (ms); Action Label; Verb Label; Noun Label(s)
1; P05-R01-PastaSalad-583261-586055; P05-R01-PastaSalad; 583261; 586055; Cut tomato; Cut; tomato
2; P07-R01-PastaSalad-91730-93630; P07-R01-PastaSalad; 91730; 93630; Take eating_utensil; Take; eating_utensil
3; P03-R01-PastaSalad-1409619-1415214; P03-R01-PastaSalad; 1409619; 1415214; Transfer cucumber,cutting_board,bowl; Transfer; cucumber,cutting_board,bowl
4; P11-R02-TurkeySandwich-523575-527805; P11-R02-TurkeySandwich; 523575; 527805; Squeeze condiment,sandwich; Squeeze; condiment,sandwich
5; P06-R02-TurkeySandwich-443615-444488; P06-R02-TurkeySandwich; 443615; 444488; Squeeze washing_liquid,plate; Squeeze; washing_liquid,plate
6; P17-R03-BaconAndEggs-1282100-1288200; P17-R03-BaconAndEggs; 1282100; 1288200; Wash cooking_utensil; Wash; cooking_utensil
7; P15-R01-PastaSalad-652087-657687; P15-R01-PastaSalad; 652087; 657687; Cut onion; Cut; onion
8; P20-R03-BaconAndEggs-175221-177176; P20-R03-BaconAndEggs; 175221; 177176; Take plate; Take; plate
9; OP01-R01-PastaSalad-1383430-1386910; OP01-R01-PastaSalad; 1383430; 1386910; Close unkown; Close; unkown
11; P25-R06-GreekSalad-1533712-1534424; P25-R06-GreekSalad; 1533712; 1534424; Put trash,trash_container; Put; trash,trash_container
12; OP03-R06-GreekSalad-146950-147980; OP03-R06-GreekSalad; 146950; 147980; Move Around plate; Move Around; plate
13; P25-R06-GreekSalad-1035936-1039641; P25-R06-GreekSalad; 1035936; 1039641; Move Around eating_utensil; Move Around; eating_utensil
14; P01-R02-TurkeySandwich-62300-64600; P01-R02-TurkeySandwich; 62300; 64600; Turn on faucet; Turn on; faucet
15; P13-R01-PastaSalad-1516113-1519250; P13-R01-PastaSalad; 1516113; 1519250; Cut onion; Cut; onion
16; P22-R03-BaconAndEggs-445698-450600; P22-R03-BaconAndEggs; 445698; 450600; Inspect/Read recipe; Inspect/Read; recipe
17; P01-R02-TurkeySandwich-959996-961056; P01-R02-TurkeySandwich; 959996; 961056; Put trash,trash_container; Put; trash,trash_container
18; P19-R03-BaconAndEggs-1344323-1347839; P19-R03-BaconAndEggs; 1344323; 1347839; Put plate; Put; plate
19; P09-R01-PastaSalad-1259742-1261416; P09-R01-PastaSalad; 1259742; 1261416; Take cutting_board; Take; cutting_board
21; OP03-R01-PastaSalad-218970-225590; OP03-R01-PastaSalad; 218970; 225590; Cut tomato; Cut; tomato
22; OP01-R05-Cheeseburger-297490-302630; OP01-R05-Cheeseburger; 297490; 302630; Divide/Pull Apart lettuce; Divide/Pull Apart; lettuce
23; OP03-R04-ContinentalBreakfast-283093-284050; OP03-R04-ContinentalBreakfast; 283093; 284050; Turn off faucet; Turn off; faucet
24; OP04-R06-GreekSalad-299155-300095; OP04-R06-GreekSalad; 299155; 300095; Open fridge; Open; fridge
