# Action ID; Action Label; Verb Label; Noun Label(s)
0; Inspect/Read recipe ; Inspect/Read; recipe
1; Open fridge ; Open; fridge
2; Take eating_utensil ; Take; eating_utensil
3; Cut tomato ; Cut; tomato
4; Turn on faucet ; Turn on; faucet
5; Put eating_utensil ; Put; eating_utensil
6; Open cabinet ; Open; cabinet
7; Take condiment_container ; Take; condiment_container
8; Cut cucumber ; Cut; cucumber
9; Operate stove ; Operate; stove
10; Close fridge ; Close; fridge
11; Cut carrot ; Cut; carrot
12; Put condiment_container ; Put; condiment_container
13; Cut onion ; Cut; onion
14; Open drawer ; Open; drawer
15; Take plate ; Take; plate
16; Take bowl ; Take; bowl
17; Put bowl ; Put; bowl
18; Put trash,trash_container ; Put; trash,trash_container
19; Put plate ; Put; plate
20; Cut bell_pepper ; Cut; bell_pepper
21; Put cooking_utensil ; Put; cooking_utensil
22; Take paper_towel ; Take; paper_towel
23; Move Around bacon ; Move Around; bacon
24; Open condiment_container ; Open; condiment_container
25; Wash eating_utensil ; Wash; eating_utensil
26; Spread condiment,bread,eating_utensil ; Spread; condiment,bread,eating_utensil
27; Turn off faucet ; Turn off; faucet
28; Put pan ; Put; pan
29; Take cooking_utensil ; Take; cooking_utensil
30; Put lettuce ; Put; lettuce
31; Move Around patty ; Move Around; patty
32; Put pot ; Put; pot
33; Close cabinet ; Close; cabinet
34; Put bread ; Put; bread
35; Take bread ; Take; bread
36; Close condiment_container ; Close; condiment_container
37; Open fridge_drawer ; Open; fridge_drawer
38; Wash hand ; Wash; hand
39; Put tomato ; Put; tomato
40; Take seasoning_container ; Take; seasoning_container
41; Take cup ; Take; cup
42; Divide/Pull Apart lettuce ; Divide/Pull Apart; lettuce
43; Put cup ; Put; cup
44; Take pot ; Take; pot
45; Clean/Wipe counter ; Clean/Wipe; counter
46; Take bread_container ; Take; bread_container
47; Take tomato ; Take; tomato
48; Take pan ; Take; pan
49; Move Around pan ; Move Around; pan
50; Wash cutting_board ; Wash; cutting_board
51; Put bread_container ; Put; bread_container
52; Take sponge ; Take; sponge
53; Take lettuce ; Take; lettuce
54; Take onion ; Take; onion
55; Put sponge ; Put; sponge
56; Divide/Pull Apart paper_towel ; Divide/Pull Apart; paper_towel
57; Open dishwasher ; Open; dishwasher
58; Take cheese_container ; Take; cheese_container
59; Take oil_container ; Take; oil_container
60; Put seasoning_container ; Put; seasoning_container
61; Take cucumber ; Take; cucumber
62; Wash pan ; Wash; pan
63; Take bell_pepper ; Take; bell_pepper
64; Divide/Pull Apart onion ; Divide/Pull Apart; onion
65; Put cutting_board ; Put; cutting_board
66; Mix mixture,eating_utensil ; Mix; mixture,eating_utensil
67; Take tomato_container ; Take; tomato_container
68; Put cheese ; Put; cheese
69; Move Around eating_utensil ; Move Around; eating_utensil
70; Put bell_pepper ; Put; bell_pepper
71; Pour oil,oil_container,pan ; Pour; oil,oil_container,pan
72; Take pasta_container ; Take; pasta_container
73; Cut lettuce ; Cut; lettuce
74; Put tomato_container ; Put; tomato_container
75; Wash bowl ; Wash; bowl
76; Cut olive ; Cut; olive
77; Close drawer ; Close; drawer
78; Pour condiment,condiment_container,salad ; Pour; condiment,condiment_container,salad
79; Wash pot ; Wash; pot
80; Mix pasta ; Mix; pasta
81; Open bread_container ; Open; bread_container
82; Take grocery_bag ; Take; grocery_bag
83; Take cheese ; Take; cheese
84; Pour seasoning,seasoning_container,salad ; Pour; seasoning,seasoning_container,salad
85; Mix egg ; Mix; egg
86; Pour water,faucet,pot ; Pour; water,faucet,pot
87; Put paper_towel ; Put; paper_towel
88; Put cucumber ; Put; cucumber
89; Compress sandwich ; Compress; sandwich
90; Put cheese_container ; Put; cheese_container
91; Put onion ; Put; onion
92; Crack egg ; Crack; egg
93; Take cutting_board ; Take; cutting_board
94; Open oil_container ; Open; oil_container
95; Squeeze washing_liquid,sponge ; Squeeze; washing_liquid,sponge
96; Operate microwave ; Operate; microwave
97; Close fridge_drawer ; Close; fridge_drawer
98; Wash strainer ; Wash; strainer
99; Move Around bowl ; Move Around; bowl
100; Move Around pot ; Move Around; pot
101; Put grocery_bag ; Put; grocery_bag
102; Take egg ; Take; egg
103; Open cheese_container ; Open; cheese_container
104; Close oil_container ; Close; oil_container
105; Put oil_container ; Put; oil_container
